text,label,Final Labelling,phase_label
Tinder Security Audit,Formatting,Background Information,Support – Background Information
SSN Project 2013,Formatting,Background Information,Support – Background Information
Joris Claassen Leendert v. Duijn Mick Pouw Esan Wit,Formatting,Background Information,Support – Background Information
"{Joris.Claassen,Leendert.vanDuijn,Mick.Pouw,Esan.Wit}@os3.nl",Formatting,Background Information,Support – Background Information
22-Dec-13,Formatting,Formatting,Support – Formatting
Abstract,Formatting,Formatting,Support – Formatting
Tinder is a dating app that is being used by many users on a global scale. The Tinder application requires a Facebook profile as well as GPS location to function properly. Tinder claims not to share this information with other users. Since personal information like sexual preferences or your location is highly sensitive data it should be properly secured. This audit focuses on testing whether or not Tinder uses avail- able technologies to withstand common attacks. Whilst most known leaks in Tinder appear to no longer be around there are still some points of concern. It turns out that there is an insecure connection which sends user preferences and GPS data to an analytics company. ,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
Contents,Formatting,Formatting,Support – Formatting
1 Introduction 2,Formatting,Formatting,Support – Formatting
2 Related Work 3,Formatting,Formatting,Support – Formatting
3 Materials and Methods 4,Formatting,Formatting,Support – Formatting
3.1 Static analysis . . . . . . . . . . . . . . . . . . . . . . . . . . 4,Sensitive Data Exposure,Formatting,Support – Formatting
3.2 Network traffic . . . . . . . . . . . . . . . . . . . . . . . . . . 4,Unknown,Formatting,Support – Formatting
3.2.1 HTTP(S) Proxies . . . . . . . . . . . . . . . . . . . . . 4,Weak Transport Security,Formatting,Support – Formatting
3.2.2 Realization . . . . . . . . . . . . . . . . . . . . . . . . 5,Unknown,Formatting,Support – Formatting
3.3 User authentication. . . . . . . . . . . . . . . . . . . . . . . . 5,Unknown,Formatting,Support – Formatting
4 Analysis 6,Formatting,Formatting,Support – Formatting
4.1 Offline analysis . . . . . . . . . . . . . . . . . . . . . . . . . . 6,Unknown,Formatting,Support – Formatting
4.1.1 Libraries . . . . . . . . . . . . . . . . . . . . . . . . . . 6,Unknown,Formatting,Support – Formatting
4.1.2 API resources . . . . . . . . . . . . . . . . . . . . . . . 6,Unknown,Formatting,Support – Formatting
